DATE,employment_rate,permit_units,PI,population,ppi_construction,House_price_index,Mortgage_rate,Year,Month,quarter,house_inventory_estimate,gdp
2000-04-01,74.5090844051381,1597,8542.9,281763,145.6,102.541,8.1525,2000,4,2,116047.0,2569476.0
2000-05-01,74.0791872807663,1543,8580.9,281996,144.9,103.702,8.515,2000,5,2,116047.0,2569476.0
2000-06-01,74.2122805574267,1572,8634.2,282247,145.0,104.855,8.288,2000,6,2,116047.0,2569476.0
2000-07-01,73.825749353689,1542,8701.2,282504,144.4,105.722,8.1475,2000,7,3,116482.0,2578060.0
2000-08-01,73.8757230842752,1552,8747.4,282769,143.7,106.522,8.0275,2000,8,3,116482.0,2578060.0
2000-09-01,73.861446087203,1570,8792.1,283033,143.4,107.135,7.912,2000,9,3,116482.0,2578060.0
2000-10-01,73.8828442335098,1577,8825.5,283285,143.3,107.728,7.795,2000,10,4,116914.0,2655679.0
2000-11-01,73.9269821906123,1614,8842.0,283523,142.7,108.291,7.745,2000,11,4,116914.0,2655679.0
2000-12-01,74.1187839789863,1543,8874.7,283748,142.5,108.791,7.382,2000,12,4,116914.0,2655679.0
2001-01-01,73.975054676528,1699,8975.6,283960,142.0,109.214,7.0325,2001,1,1,117347.0,2562436.0
2001-02-01,73.8827162310639,1656,9010.9,284166,142.4,109.642,7.05,2001,2,1,117347.0,2562436.0
2001-03-01,73.9217992695171,1659,9041.2,284380,142.4,110.393999999999,6.952,2001,3,1,117347.0,2562436.0
2001-04-01,73.5528791656777,1666,9033.8,284602,142.5,111.247,7.0775,2001,4,2,117786.0,2656364.0
2001-05-01,73.3965020929048,1665,9030.6,284834,144.2,112.202,7.145,2001,5,2,117786.0,2656364.0
2001-06-01,73.1425415849713,1626,9032.9,285076,144.3,113.272,7.16,2001,6,2,117786.0,2656364.0
2001-07-01,73.1253346126681,1598,9028.1,285324,143.4,114.226,7.1275,2001,7,3,118216.0,2651331.0
2001-08-01,72.5735990775365,1615,9013.6,285584,143.3,114.987,6.95,2001,8,3,118216.0,2651331.0
2001-09-01,72.7932772430463,1565,8987.3,285842,143.0,115.465,6.8175,2001,9,3,118216.0,2651331.0
2001-10-01,72.4620006059188,1566,9000.0,286086,142.3,115.681,6.6175,2001,10,4,118635.0,2711685.0
2001-11-01,72.3041794610234,1651,8997.6,286315,142.1,115.838,6.658,2001,11,4,118635.0,2711685.0
2001-12-01,72.2266770802096,1680,9002.1,286533,141.7,116.056,7.065,2001,12,4,118635.0,2711685.0
